开始时间||检查类别||检查项||比较方式||阈值||巡检用时||检查指标||指标数值||检查结果
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb256||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb257||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb258||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb259||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb26||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb260||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb261||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb262||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb263||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb264||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb265||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb266||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb267||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb268||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb269||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb27||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb270||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb271||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb272||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb273||无TiFlash副本||异常_已有
